,BLB,PendapatanbulananpurataisirumahkurangdaripadaPGK,Keadaantempattinggalusangataumulaiburuk,Lebih2ahliisirumahbilik,Menggunakantandasselaindaripadatandaspam,TiadakemudahanKutipanSampah,Semuaahliisirumahsamaadatidakmenggunakanpengangkutanpersendirian,Isirumahtidakmampumenyewadanmemilikirumah,Tidakmemilikitelefontaliantetapatautelefonbimbit,Tidakdapatmengaksesinternet,TidakmendapatkemudahanawamTeknologiICT,Semuaahliisirumahberumur1760tahunmempunyaikurangdaripada11tahunp,Kanakkanakantara616tahunyangtidakbersekolah,Pemeliharaanagama,Pemeliharaanakal,Pemeliharaannyawa,Pemeliharaanketurunan,Pemeliharaanharta,Pengambilanmakanankurangdaripadatiga3kalisehari,Selaindaripadabekalanairterawatdidalamrumahdanpaipairawampaipber,Cluster,Cluster_Name
199,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
200,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Cluster_0
201,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,Cluster_0
202,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
203,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,Cluster_1
204,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
205,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
206,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
207,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
208,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Cluster_0
209,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,Cluster_1
210,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Cluster_0
211,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
212,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
213,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
214,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,Cluster_1
215,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Cluster_0
216,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Cluster_0
217,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
218,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,Cluster_1
219,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
220,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
221,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Cluster_0
222,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
223,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Cluster_0
224,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
225,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,Cluster_1
226,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
227,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,Cluster_0
228,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Cluster_0
229,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
230,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
231,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
232,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Cluster_0
